,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Once Upon a Time... In Hollywood,2019,161,7.6,83,599326,142.5
1,The Godfather,1972,175,9.2,100,1673405,134.97
2,Avengers: Endgame,2019,181,8.4,78,899892,858.37
3,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,683958,317.58
4,Zack Snyder's Justice League,2021,242,8.1,54,312566,
5,The Shawshank Redemption,1994,142,9.3,80,2419674,28.34
6,Thor: Ragnarok,2017,130,7.9,74,626240,315.06
7,Pulp Fiction,1994,154,8.9,94,1877557,107.93
8,The Sandlot,1993,101,7.8,55,82249,32.42
9,Jaws,1975,124,8.0,87,555266,260.0
10,Boogie Nights,1997,155,7.9,85,245721,26.4
11,Another Round,2020,117,7.8,79,90816,
12,The Father,2020,97,8.3,88,78488,
13,The Goonies,1985,114,7.8,62,251333,61.5
14,Terminator 2: Judgment Day,1991,137,8.5,75,1018351,204.84
15,Guardians of the Galaxy,2014,121,8.0,76,1073850,333.18
16,Parasite,2019,132,8.6,96,629013,53.37
17,The Game,1997,129,7.8,61,360718,48.32
18,Joker,2019,122,8.4,59,1024931,335.45
19,Knives Out,2019,130,7.9,82,503912,165.36
20,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1705141,315.54
21,Star Trek,2009,127,7.9,82,584227,257.73
22,The Dark Knight,2008,152,9.0,84,2377005,534.86
23,Avengers: Infinity War,2018,149,8.4,68,894850,678.82
24,The Wolf of Wall Street,2013,180,8.2,75,1237769,116.9
25,Interstellar,2014,169,8.6,74,1579163,188.02
26,Forrest Gump,1994,142,8.8,82,1869132,330.25
27,The Mitchells vs the Machines,2021,113,7.7,80,66071,
28,Titanic,1997,194,7.8,75,1078260,659.33
29,The Hobbit: An Unexpected Journey,2012,169,7.8,58,771920,303.0
30,Soul,2020,100,8.1,83,261000,
31,Inception,2010,148,8.8,74,2133496,292.58
32,Inglourious Basterds,2009,153,8.3,69,1309864,120.54
33,Fight Club,1999,139,8.8,66,1908327,37.03
34,The Matrix,1999,136,8.7,73,1724346,171.48
35,Kill Bill: Vol. 1,2003,111,8.1,69,1028064,70.1
36,Hamilton,2020,160,8.4,90,68382,
37,Goodfellas,1990,146,8.7,90,1051495,46.84
38,The Big Lebowski,1998,117,8.1,71,752904,17.5
39,Saving Private Ryan,1998,169,8.6,91,1272878,216.54
40,The Gentlemen,2019,113,7.8,51,271081,
41,Mad Max: Fury Road,2015,120,8.1,90,911271,154.06
42,Back to the Future,1985,116,8.5,87,1092213,210.61
43,Django Unchained,2012,165,8.4,81,1401770,162.81
44,The Godfather: Part II,1974,202,9.0,90,1162147,57.3
45,Alien,1979,117,8.4,89,809557,78.9
46,The Avengers,2012,143,8.0,69,1290856,623.28
47,Edge of Tomorrow,2014,113,7.9,71,619215,100.21
48,Blade Runner 2049,2017,164,8.0,81,485009,92.05
49,The Godfather: Part III,1990,162,7.6,60,370175,66.67
